Parameter,Row,Slot0,Slot1,Slot2,Slot3,Slot4,Slot5,Slot6,Slot7,Slot8,Slot9,Slot10,Slot11,Slot12,Slot13,Slot14,Slot15
M_V,1,,,,,,,,,,,2598127.26,,,,,
M_V,2,,,,,,,,,,,134948.22,,,,,
M_V,3,,,,,,,,,,,674741.1,,,,,
M_V,4,,,,,,,,,,,3379116.395,,,,,
M_V,5,,,,,,,,,,,1236476.78,,,,,
M_V,6,,,,,,,,,,,2586337.992,,,,,
M_V,7,,,,,,,,,,,353987.234,,,,,
M_V,8,,,,,,,,,,,0.0,,,,,
M_V,9,,,,,,,,,,,65828.4,,,,,
M_V,10,,,,,,,,,,,27428.500000000004,,,,,
M_V,11,,,,,,,,,,,124.605182,,,,,
M_V,12,,,,,,,,,,,41476.879,,,,,
M_V,13,,,,,,,,,,,78.615068,,,,,
M_V,14,,,,,,,,,,,160656.205,,,,,
M_V,15,,,,,,,,,,,99540.51999999999,,,,,
M_V,16,,,,,,,,,,,135047.96,,,,,
M_V,17,,,,,,,,,,,45071.5086,,,,,
M_V,18,,,,,,,,,,,49291.507999999994,,,,,
M_V,19,,,,,,,,,,,197734.55,,,,,
M_V,20,,,,,,,,,,,481589.383572,,,,,
M_V,21,,,,,,,,,,,76.515541,,,,,
M_V,22,,,,,,,,,,,297065.616,,,,,
M_V,23,,,,,,,,,,,164837.3058,,,,,
M_V,24,,,,,,,,,,,579888.36,,,,,
M_V,25,,,,,,,,,,,70147.14199999999,,,,,
M_V,26,,,,,,,,,,,0.0,,,,,
M_V,27,,,,,,,,,,,74.65539000000001,,,,,
M_V,28,,,,,,,,,,,460320.04799999995,,,,,
M_V,29,,,,,,,,,,,3721000.1799999997,,,,,
M_V,30,,,,,,,,,,,282703.056,,,,,
M_V,31,,,,,,,,,,,2017740.2,,,,,
M_V,32,,,,,,,,,,,4582105.47,,,,,
M_V,33,,,,,,,,,,,16457.1,,,,,
M_V,34,,,,,,,,,,,56722.138,,,,,
M_V,35,,,,,,,,,,,12846.511999999999,,,,,
M_V,36,,,,,,,,,,,272888.64,,,,,
M_V,37,,,,,,,,,,,8103.875,,,,,
M_V,38,,,,,,,,,,,112593.4938,,,,,
M_V,39,,,,,,,,,,,587.66808,,,,,
M_V,40,,,,,,,,,,,556549.2,,,,,
M_V,41,,,,,,,,,,,464763.46499999997,,,,,
M_V,42,,,,,,,,,,,132933.47199999998,,,,,
M_V,43,,,,,,,,,,,3446.76505,,,,,
M_V,44,,,,,,,,,,,1640383.8839999998,,,,,
M_V,45,,,,,,,,,,,116695.79999999999,,,,,
M_V,46,,,,,,,,,,,53211.29,,,,,
M_V,47,,,,,,,,,,,68453.35732,,,,,
M_V,48,,,,,,,,,,,141630.8,,,,,
M_V,49,,,,,,,,,,,13.574613999999999,,,,,
M_V,50,,,,,,,,,,,0.0,,,,,
M_V,51,,,,,,,,,,,154.63689599999998,,,,,
M_V,52,,,,,,,,,,,67916.9556,,,,,
M_V,53,,,,,,,,,,,246806.62999999998,,,,,
M_V,54,,,,,,,,,,,18900.73,,,,,
M_V,55,,,,,,,,,,,270095.92,,,,,
M_V,56,,,,,,,,,,,197.73454999999998,,,,,
M_V,57,,,,,,,,,,,657895.014,,,,,
M_V,58,,,,,,,,,,,0.0,,,,,
M_V,59,,,,,,,,,,,141411.372,,,,,
M_V,60,,,,,,,,,,,324504.08999999997,,,,,
M_V,61,,,,,,,,,,,58.766808,,,,,
M_V,62,,,,,,,,,,,166964.75999999998,,,,,
M_V,63,,,,,,,,,,,21783.216,,,,,
M_V,64,,,,,,,,,,,220840.8171,,,,,
M_V,65,,,,,,,,,,,349563.76499999996,,,,,
M_V,66,,,,,,,,,,,0.0,,,,,
M_V,67,,,,,,,,,,,207908.03,,,,,
M_V,68,,,,,,,,,,,119448.624,,,,,
M_V,69,,,,,,,,,,,0.0,,,,,
M_V,70,,,,,,,,,,,0.0,,,,,
M_V,71,,,,,,,,,,,102293.344,,,,,
M_V,72,,,,,,,,,,,70424.4192,,,,,
M_V,73,,,,,,,,,,,121832.40999999999,,,,,
M_V,74,,,,,,,,,,,76360.944,,,,,
M_V,75,,,,,,,,,,,0.0,,,,,
M_V,76,,,,,,,,,,,0.0,,,,,
M_V,77,,,,,,,,,,,113660.96114999999,,,,,
M_V,78,,,,,,,,,,,0.0,,,,,
M_V,79,,,,,,,,,,,278.59775759999997,,,,,
M_V,80,,,,,,,,,,,44105.028,,,,,
M_V,81,,,,,,,,,,,175916.92369999998,,,,,
M_V,82,,,,,,,,,,,85078.22,,,,,
M_V,83,,,,,,,,,,,0.0,,,,,
M_V,84,,,,,,,,,,,0.0,,,,,
M_V,85,,,,,,,,,,,233471.392,,,,,
M_V,86,,,,,,,,,,,0.0,,,,,
M_V,87,,,,,,,,,,,97994.54999999999,,,,,
M_V,88,,,,,,,,,,,0.0,,,,,
M_V,89,,,,,,,,,,,37534.1568,,,,,
M_V,90,,,,,,,,,,,301942.902,,,,,
M_V,91,,,,,,,,,,,91576.281,,,,,
M_V,92,,,,,,,,,,,770379.59172,,,,,
M_V,93,,,,,,,,,,,0.0,,,,,
M_V,94,,,,,,,,,,,237281.46,,,,,
NAfter,1,,,,,,,,,,,10000.0,,,,,
NAfter,2,,,,,,,,,,,5000.0,,,,,
NAfter,3,,,,,,,,,,,820000.0,,,,,
NAfter,4,,,,,,,,,,,14500.0,,,,,
NAfter,5,,,,,,,,,,,2530000.0,,,,,
NAfter,6,,,,,,,,,,,2100.0,,,,,
NAfter,7,,,,,,,,,,,1000.0,,,,,
NAfter,8,,,,,,,,,,,0.0,,,,,
NAfter,9,,,,,,,,,,,25000.0,,,,,
NAfter,10,,,,,,,,,,,12500.0,,,,,
NAfter,11,,,,,,,,,,,1.0,,,,,
NAfter,12,,,,,,,,,,,500.0,,,,,
NAfter,13,,,,,,,,,,,1.0,,,,,
NAfter,14,,,,,,,,,,,85000.0,,,,,
NAfter,15,,,,,,,,,,,1000.0,,,,,
NAfter,16,,,,,,,,,,,8000.0,,,,,
NAfter,17,,,,,,,,,,,300.0,,,,,
