Date,Prefix,Ticker,Number,Price,Act,Amount,Day,Day Buys,Day Sales,Day Aggr.,Buy Aggr.,Sale Aggr.
1/27/25,2,DSY,"2,000",36.68 ,add,,,,,,,
1/27/25,2,ASML,200,(647.10),add,,,,,,,
1/27/25,2,TSM,800,(189.89),add,,,,,,,
1/27/25,2,NEE,"1,200",72.41 ,,,,,,,,
1/27/25,2,DIS,900,113.21 ,,,,,,,,
1/27/25,,HPQ,"5,000",32.77 ,,,,,,,,
1/27/25,,AZN,"1,300",70.21 ,,,,,,,,
1/27/25,,AVGO,200,197.36 ,,,,,,,,
1/27/25,,CSCO,"2,000",(59.13),,,,,,,,
1/27/25,,KR,"2,000",(60.38),add,,,,,,,
1/27/25,,LUMN,"2,000",(5.07),add,,,,,,,
1/27/25,,HPE,"4,000",(22.58),add,,,,,,,
1/28/25,,NOTE,"10,000",1.46 ,add,,,,,,,
1/28/25,,THC,500,(142.02),add,,,,,,,
1/28/25,,MA,100,546.67 ,,,,,,,,
1/28/25,,SAFDIS,700,113.20 ,add,,,,,,,
1/28/25,,SAFAAPL,200,231.18 ,,,,,,,,
1/28/25,,SAFASML,100,(642.85),,,,,,,,
1/28/25,,ORA,"6,000",10.37 ,,,,,,,,
1/29/25,,MVEORA,"6,300",10.39 ,,,,,,,,
1/29/25,,RWE,"4,000",29.33 ,,,,,,,,
1/29/25,,MVERWE,"4,000",29.29 ,,,,,,,,
1/29/25,,C,500,80.89 ,,,,,,,,
1/29/25,,EPIX,"15,000",(1.72),,,,,,,,
1/29/25,,MRNA,"3,000",41.35 ,,,,,,,,
1/29/25,,NVS,400,103.01 ,,,,,,,,
1/29/25,,THC,500,(142.02),,,,,,,,
1/30/25,,HPE,"4,000",(21.21),,,,,,,,
1/31/25,,AAPL,200,(233.95),,,,,,,,
1/31/25,,THC,150,(140.46),,,,,,,,
1/31/25,,MVEGLE,"2,000",31.31 ,,,,,,,,
1/31/25,,CSCO,"2,000",60.51 ,,,,,,,,
1/31/25,,LUV,"1,200",(30.70),,,,,,,,
2/4/25,,AAPL,300,(230.70),,,,,,,,
2/4/25,,DSY,"1,000",39.12 ,,,,,,,,
2/4/25,,DSY,"2,000",40.12 ,,,,,,,,
2/4/25,,MVEDSY,"1,000",39.55 ,,,,,,,,
2/4/25,,MVEDSY,"2,000",40.41 ,,,,,,,,
2/5/25,,SAFAMZN,250,(236.91),,,,,,,,
2/5/25,,DSY,"1,000",40.70 ,,,,,,,,
2/5/25,,TSLA,100,(382.16),,,,,,,,
2/5/25,,HPE,"4,000",21.36 ,,,,,,,,
2/5/25,,AMZN,400,(236.71),,,,,,,,
2/5/25,,KR,"1,000",65.63 ,,,,,,,,
2/5/25,,SAFDDD,"20,000",4.60 ,,,,,,,,
2/5/25,,EZJ,"9,000",529.40 ,,,,,,,,
2/5/25,,GNRC,450,(142.78),,,,,,,,
