GeneratedUTC,2026-02-28T04:38:39.730289+00:00
AAPL,1345442351143243535342453331223333322233333442432323343322244333442332332533333334335432354243412432343332422553344441223452344434323323442555331222333344434322443245453342353242324242343333513122333454423113443345524135515111133414244424234121143322421343333444531335122355334141432132431222343441443423433344434443334243323534322234331344324423441433153433235431334332421342334233344344444214243333
ADEA,2455153235123552215323111352444245213541451455242421353442443334451131112252451131245432443155312115344324233435432352333452124235422432552535431331421333133122444245333525253241334544352332513132222352525153243454422254315341134313254234142223132431322124554442452442214332233542341121542432433231244554351535423435342241551354432245332423454352342523233521225344544321311444345234335251455211143344
AET.L,5421515514425144441234535511335145443231455415152414315224441511112143141414541515444115544451225123241413233451151223212435345532445225114511422521432133244422532253241224151545241352442534521553245153215533342113251245425512121124325252325315511513121253332212422243431533312222433334354454424323422322435443243343422334433232315223425211313334223344155424341344252442531323212442342313321252552111
AMZN,4244153443122211124222535431341233435522333343352322243232233434541312212344132551344442542232414434243244231233244231442532243335222335432335421432434324432334342343325535222242313453434332524223312454442235232455512122515151144213145434225144121521414321232242341414342343334552533231443222243441252253354544425521243125422454251443441334333244441523222223444342345551522542224143435353444411252342
ALDNE.PA,1524215143131531512551331514122515153353153335551532514313243511134214351511232333151322344232333431313243545315113333144151521534213322333254522341322444314232514314522412423412531222255253112515524133435135551433313335153535522111414145322352114113152123313421152433351514522531155214112312531415515231455513511552155332425145145131514112322414413351515254142215124551144121332123335514143152145252
ASML.AS,3144242533414245411443253344414524351245534434245114222242254542535135232243412224144344512534535131143543433245354354434545413124434224323444452241142524412151532434413422413553232422444443422424412432123552542353323452215535151112511113523444535212341411513323222524524232555211151425332242253442243214534442332454552244522215334251424113233242531154254233522354431524245522111142543122433354432355
AVGO,2152233352142554113323542221541455133232324354541311244553321454521523414252251221555542232451513532344423233233124315155443154434221324253345252144444414253433252344153535434241453213455344523234233553453255423555511132515451154221123415125255151531415111232234351355255351433454433131433212555411155251353445413333234122213555321252421332531313552544131434455321455551241522415132435453451421151242
AZN,5234314344355153414321444441314424235332333343442342242432431234453233442454523233324333224234323233425543122422322232333353333324344344544242344155224553223242444313533423423122434342432542443334451253131352354344424235515211522343322132334441232443433444424235342552224424443534322433444323334431422231444242443454243133433411331124223323343442432214432443223324222313131333434343324344344314542332
BLDP,1453333335133451132113312421522244414553211444251411524245241553241221111342151351542532132115512225515231154555545455115141332535211351513142451321145255541421253155451515114152244555542145452113515255521444215355511423545142134111123223255551151151115211225255153445135131541113511214555222345521324122525215451553125433124211552415121225231251315414115515314451524443111251215151444151152311152154
BMRA,4153113315125122114322313513123421555535124455224113525543251515535121123531251142123421552525215415413243153223133444351211231124551115421321513151115255355311251545132525113151133454315142511142253225351132312555115154515131133211115155155123121311155111115551351551111155315115551513553111551511535511511115551513311311135551133535311151151551551315551115515155131151511131535155533331535531113133
