Ticker,LastDigitDate,Digits
AAPL,2026-02-27,1223231231122122323222332221122222221122222222221212222221233222332221222322222222223321233222211222222222322332223331122231222223212222332333221211222222222212222123332222232131212131222222312121222332212112222233313123313111122313233323223111132221311222222333321223122233222121321121221211232321232222322232322322223132212322211122221223223322331222132222223321223222221232223222223232333212132222
ADEA,2026-02-27,2233132123112331213212111231333233212331331333131311232322222223331121112132331121223321332133212113233223122323222231222232123123211221331323221221211222122121333133222313232131222323231222312121121231323132132333212232213221123212133123132122121221211112333231332331112221222331231111331222322221132333231323222323221231331233221233221212232231221312122311113233323211211332223122223231233111132222
AET.L,2026-02-27,3211313313313133331123323311223133332121333213131313213123221311111132131313321313233113323231123112121312122231131122212323223321233123113311321311322122232311322232231112131333131231332323321332133132113322231112231233323311111113213232213213311312111132222211212122221322211111322223233333223212321211223222132222212223322221213112323111212222112223133323231232132332321212111231232212211132332111
AMZN,2026-02-27,3123132332112211113122323321221122323312222232232211232121222323331212111232121331233331332221313322122132221122133221331321132223211223322223211322223223321223231232213323211232212332222222312112212332332123122333312111313131133112133223113133121321312211122221231313231232223331322121332211232231232232233333313321232113322333131232221222222232331312221222323232233331311321122122223232232211132232
ALDNE.PA,2026-02-27,2313213132121321311331221313111313132232132223331321313212222311123113231311121222131221233122222321212132323213112222123131311322212221222132311231211333213121313213312212212211321212133132112313312122223123331322212223132323311111213123221232113112131112212321131322231313311321133112112211321313313221333312311331133222213133133121312111221313212231313132132113113331123121221112223313122131133131
ASML.AS,2026-02-27,2133232322213233211232132233313313231223323222223112122132233321323123122122311122133232311322323121132332322133232232222333312123223222222333332231122313211131322323312312212332122211223332311223311222122332322232222332113323131112311112312322323112231311312212122322313221333211131323221131132331222213322232222232331133312213222231212112122131321133232122321233321312133322111121322111322233221233
AVGO,2026-02-27,2131222231121332112222331111321233122121222232331211133332211333311322212131231111333332121231312322233212222122113213133332132323211212132223131133323313132322232233132323322131332112333233322222122332332133222333311121313331132211112213123133131321213111221122231233133231322332322121322111333311133131232323312222122111112333221132211222321212332323121323333221333331221321313121323232331311131231
AZN,2026-02-27,3222213232233132313221333321213212123222222222221232131322221223232222231332312222212222223122222222323322121312221122222232222212232222332231223133112332212122332212322212212112323222321322222223331132121231232232312123313111321232211122223331122232222222313123222331123223222323221222222212223321322221223132232333222122222311221113112212222222222213222222122222212212121222222222223233233212332221
BLDP,2026-02-27,1332222223122231122112212311312233213332111223231211312223131332131121111231131231322321121113312223313221133333333233113131221323211231312131331211133233331221232133331313113131223333332123331112313233321232213233311222323132123111112112233331131131113111213133132233123121321112311112333212223311213112323113331332113222122211331213111213121131213313113313213331313332111131113131333131131211131132
BMRA,2026-02-27,3132112213113122113212212312122311333323113333112112313332131313323111122321131131112321332323113313312232132112122322231111221113331113321211312131113133233211231333121323112131122333213131311131232123231122211333113133313121122111113133133112111211133111113331231331111133213113331312332111331311323311311113331312211211123331122323211131131331331213331113313133121131311121323133322221323321112122
C,2026-02-27,1331122332111231232222231321231112222332212333332122232233322333331321213222222233123321132123312122211123212222322232321321223223222212132312221131222332232322321132322333323231222232222222322122222232331232222233323133213231132211123223233122121211323211122332212331123212222332333123332222232321222222223222321332222212132133122223122311231232332312132311213333221121221322223211333322232211113133
CSCO,2026-02-27,3132122323122333133222332221231322122222222222331221122322331322221322233232121323133222223233212323222322222223322123221221232322222311131323131222122222232221222232232322322231311232223222322222232232222232222233312122313121122322323223223121122322222311222332222232223221222322322222222222232321222222122222223232222212222232231222222222232232322222222222233223232221122231223222333231232211122232
CVS,2026-02-27,3331222222332133133223132333131222312222222322222121323313111232232122112312222231122321223233232222223223123222221223312213322222223333221322312232131322122221122131222313222223232222222323231132322111321213322222311222213321222222312132332322131311322321132233322112222233332332323322231312322313112111311121231332323132121133112213212111121323223333133222212322231212132222123222233221131211213232
DDD,2026-02-27,1132113213111331131121111331333131313332213112131131321113331322331121213131121131131331131232311323331113233323123232133211113133321311331331331121111233332111233133333312311131122331131132122131311133321233112233211122213131131211213212133112111221113111131231231233312113321322311111331211131121121333331311212323332312131133132113312112132331213313113312113131333131311131113131313131131111122113
DIS,2026-02-27,2223121323113131321332221232122213312312222323232322332322213323131122113332222223122121332122212222221232232121222231122322222223222322332211231222222322232221221222232323222132223332222222312122323232332232232233323122213121121212232212223121121212323231232222211312222213332321222112222222232221221222122222232222321333232232223123222222232232321322122322222233332222221221232231323222221311223322
